rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,temperature,humidity,pressure,wind_speed,elevation_m,slope_deg,drainage_proximity_m,soil_saturation_pct,historical_flood_events,predicted_rainfall_6h_mm,rainfall_category,flood_probability,water_depth_m,flood_risk_level
13.7,32.8,56.8,112.2,198.3,33.2,71.1,1009.2,30.7,33.4,2.2,147.3,82.5,2,44.3,MODERATE,0.92,1.43,CRITICAL
22.8,56.3,113.0,221.9,326.4,26.1,66.3,1003.8,36.6,10.2,0.3,81.9,91.8,4,85.8,MODERATE,0.98,1.74,CRITICAL
2.9,6.3,11.9,23.2,37.4,33.2,64.4,1010.5,28.0,5.7,4.7,734.7,46.0,6,48.6,MODERATE,0.31,0.59,MODERATE
7.1,14.7,23.5,45.7,59.7,31.9,58.5,1017.9,35.1,22.3,2.2,248.9,52.0,3,31.9,LOW,0.37,0.29,MODERATE
9.1,21.1,36.3,70.3,116.4,32.2,67.6,1003.0,50.9,3.5,0.7,417.7,61.7,6,75.6,MODERATE,0.9,1.82,CRITICAL
0.5,1.2,2.0,3.7,5.9,32.4,63.2,1003.0,35.2,11.9,12.4,331.4,41.8,5,53.1,MODERATE,0.18,0.0,LOW
2.8,6.0,10.7,19.4,32.1,36.5,59.5,1018.4,16.6,3.6,5.6,58.2,46.2,5,30.8,LOW,0.43,0.87,HIGH
5.2,10.9,20.4,28.8,50.5,35.0,63.0,1011.5,25.6,18.4,4.8,37.3,43.0,5,37.3,LOW,0.39,0.49,MODERATE
20.4,43.4,80.5,119.1,163.5,33.5,74.2,1001.0,33.1,2.5,11.4,194.8,90.3,6,65.6,MODERATE,0.96,2.14,CRITICAL
2.2,5.9,11.9,17.6,25.2,34.9,62.2,1009.6,30.8,19.9,2.1,185.5,40.9,3,43.7,MODERATE,0.29,0.0,MODERATE
8.2,17.8,29.1,41.2,74.1,30.9,77.8,1001.1,37.0,22.1,4.7,440.7,48.7,3,90.4,HIGH,0.62,0.91,HIGH
0.1,0.2,0.4,0.5,0.8,30.2,67.3,1001.0,32.3,14.0,1.1,395.1,31.4,6,68.7,MODERATE,0.28,0.0,MODERATE
3.1,7.8,13.5,26.4,43.9,33.1,75.4,1007.1,27.0,5.5,4.5,1334.3,39.5,4,83.5,MODERATE,0.29,0.0,MODERATE
0.7,1.7,2.9,5.3,8.8,30.3,72.7,988.7,49.2,3.9,0.3,757.0,44.2,8,91.8,HIGH,0.46,0.96,HIGH
9.1,18.2,36.0,57.1,93.8,27.9,82.4,990.3,59.9,8.8,0.8,275.8,66.2,6,108.7,HIGH,0.93,1.93,CRITICAL
15.1,40.7,84.0,157.5,222.7,31.0,74.7,1000.2,39.0,13.3,2.2,278.4,93.7,5,85.0,MODERATE,0.98,1.86,CRITICAL
2.1,5.0,8.9,15.0,21.1,29.4,71.4,996.4,45.3,20.5,0.3,441.1,43.6,5,71.1,MODERATE,0.35,0.45,MODERATE
4.7,10.8,21.9,32.5,53.0,28.9,68.5,1007.7,28.0,2.0,2.5,61.0,55.8,7,49.4,MODERATE,0.71,1.38,CRITICAL
2.4,5.4,11.4,21.9,30.5,32.9,81.1,997.3,42.1,24.3,2.9,2500.0,42.2,3,75.2,MODERATE,0.05,0.0,LOW
1.2,3.0,6.2,9.9,16.1,29.2,67.0,993.0,44.4,24.5,3.7,293.0,41.5,5,53.3,MODERATE,0.22,0.0,LOW
2.1,4.4,6.7,12.2,18.8,37.5,61.1,1017.5,23.3,12.6,0.7,929.6,36.1,4,20.4,LOW,0.09,0.0,LOW
0.4,0.9,1.9,3.0,4.5,26.4,57.6,1003.1,29.8,9.6,1.0,1315.4,35.5,5,49.4,MODERATE,0.09,0.0,LOW
5.1,10.2,20.7,35.3,51.1,29.4,63.2,1005.6,32.2,35.2,3.6,346.1,51.3,2,62.0,MODERATE,0.3,0.0,MODERATE
0.4,1.0,2.0,3.7,6.6,29.1,86.3,992.9,42.6,29.6,4.1,56.5,21.4,4,92.1,HIGH,0.29,0.0,MODERATE
0.9,2.1,4.3,6.4,10.0,32.9,69.3,1000.4,35.3,75.6,0.4,338.7,34.6,0,60.7,MODERATE,0.05,0.0,LOW
4.3,10.3,22.6,44.9,71.0,31.8,61.9,1005.9,52.4,10.4,3.0,361.0,55.3,5,71.0,MODERATE,0.7,1.3,CRITICAL
9.0,18.6,33.6,48.4,85.9,30.1,75.3,995.2,39.0,44.7,5.7,606.6,58.2,2,73.2,MODERATE,0.32,0.1,MODERATE
0.2,0.5,0.8,1.4,2.3,28.3,76.3,1008.2,27.1,3.6,0.6,33.8,33.4,7,56.2,MODERATE,0.46,1.11,HIGH
5.9,14.8,27.1,52.8,93.9,27.1,63.4,999.9,38.3,11.5,2.2,253.6,63.8,5,79.3,MODERATE,0.85,1.63,CRITICAL
12.3,26.8,41.1,80.9,109.4,31.1,65.2,1002.5,45.8,13.3,1.7,988.2,61.5,5,63.1,MODERATE,0.63,1.13,HIGH
12.7,32.4,55.2,85.0,146.4,26.6,80.1,999.9,36.9,12.5,8.9,1817.8,69.2,4,71.8,MODERATE,0.49,0.77,HIGH
0.4,0.9,1.8,2.6,3.8,31.5,65.3,1020.7,22.2,19.7,1.0,95.7,42.0,4,44.9,MODERATE,0.26,0.0,LOW
6.1,15.2,26.1,47.9,81.7,31.9,68.1,1004.9,43.0,5.4,1.6,792.0,62.7,4,75.1,MODERATE,0.72,1.6,CRITICAL
